Location name,Amount spent (EUR)
Aruba,≤100
"Bonaire, Sint Eustatius and Saba",≤100
Curaçao,≤100
Drenthe,469
Flevoland,335
Friesland,594
Gelderland,1613
Groningen,535
Limburg,915
Noord-Holland,2749
North Brabant,2013
Overijssel,964
Sint Maarten,≤100
Unknown,≤100
Utrecht,1122
Zeeland,295
Zuid-Holland,3113
