Location name,Amount spent (EUR)
Aruba,≤100
"Bonaire, Sint Eustatius and Saba",≤100
Curaçao,≤100
Drenthe,427
Flevoland,331
Friesland,548
Gelderland,1525
Groningen,489
Limburg,904
Noord-Holland,2772
North Brabant,1936
Overijssel,901
Sint Maarten,≤100
Unknown,≤100
Utrecht,1076
Zeeland,272
Zuid-Holland,3122
